"Label (Grouping)","Androscoggin County, Maine!!Total!!Estimate","Androscoggin County, Maine!!Total!!Margin of Error","Androscoggin County, Maine!!Percent!!Estimate","Androscoggin County, Maine!!Percent!!Margin of Error","Aroostook County, Maine!!Total!!Estimate","Aroostook County, Maine!!Total!!Margin of Error","Aroostook County, Maine!!Percent!!Estimate","Aroostook County, Maine!!Percent!!Margin of Error","Cumberland County, Maine!!Total!!Estimate","Cumberland County, Maine!!Total!!Margin of Error","Cumberland County, Maine!!Percent!!Estimate","Cumberland County, Maine!!Percent!!Margin of Error","Franklin County, Maine!!Total!!Estimate","Franklin County, Maine!!Total!!Margin of Error","Franklin County, Maine!!Percent!!Estimate","Franklin County, Maine!!Percent!!Margin of Error","Hancock County, Maine!!Total!!Estimate","Hancock County, Maine!!Total!!Margin of Error","Hancock County, Maine!!Percent!!Estimate","Hancock County, Maine!!Percent!!Margin of Error","Kennebec County, Maine!!Total!!Estimate","Kennebec County, Maine!!Total!!Margin of Error","Kennebec County, Maine!!Percent!!Estimate","Kennebec County, Maine!!Percent!!Margin of Error","Knox County, Maine!!Total!!Estimate","Knox County, Maine!!Total!!Margin of Error","Knox County, Maine!!Percent!!Estimate","Knox County, Maine!!Percent!!Margin of Error","Lincoln County, Maine!!Total!!Estimate","Lincoln County, Maine!!Total!!Margin of Error","Lincoln County, Maine!!Percent!!Estimate","Lincoln County, Maine!!Percent!!Margin of Error","Oxford County, Maine!!Total!!Estimate","Oxford County, Maine!!Total!!Margin of Error","Oxford County, Maine!!Percent!!Estimate","Oxford County, Maine!!Percent!!Margin of Error","Penobscot County, Maine!!Total!!Estimate","Penobscot County, Maine!!Total!!Margin of Error","Penobscot County, Maine!!Percent!!Estimate","Penobscot County, Maine!!Percent!!Margin of Error","Piscataquis County, Maine!!Total!!Estimate","Piscataquis County, Maine!!Total!!Margin of Error","Piscataquis County, Maine!!Percent!!Estimate","Piscataquis County, Maine!!Percent!!Margin of Error","Sagadahoc County, Maine!!Total!!Estimate","Sagadahoc County, Maine!!Total!!Margin of Error","Sagadahoc County, Maine!!Percent!!Estimate","Sagadahoc County, Maine!!Percent!!Margin of Error","Somerset County, Maine!!Total!!Estimate","Somerset County, Maine!!Total!!Margin of Error","Somerset County, Maine!!Percent!!Estimate","Somerset County, Maine!!Percent!!Margin of Error","Waldo County, Maine!!Total!!Estimate","Waldo County, Maine!!Total!!Margin of Error","Waldo County, Maine!!Percent!!Estimate","Waldo County, Maine!!Percent!!Margin of Error","Washington County, Maine!!Total!!Estimate","Washington County, Maine!!Total!!Margin of Error","Washington County, Maine!!Percent!!Estimate","Washington County, Maine!!Percent!!Margin of Error","York County, Maine!!Total!!Estimate","York County, Maine!!Total!!Margin of Error","York County, Maine!!Percent!!Estimate","York County, Maine!!Percent!!Margin of Error"
"Total households","45,906","±574","(X)","(X)","29,594","±456","(X)","(X)","123,384","±887","(X)","(X)","12,426","±346","(X)","(X)","24,116","±519","(X)","(X)","52,506","±644","(X)","(X)","17,497","±464","(X)","(X)","15,665","±387","(X)","(X)","22,359","±540","(X)","(X)","63,073","±680","(X)","(X)","7,180","±259","(X)","(X)","16,024","±346","(X)","(X)","21,645","±397","(X)","(X)","17,427","±414","(X)","(X)","13,830","±283","(X)","(X)","86,919","±1,108","(X)","(X)"
"    TYPES OF COMPUTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Has one or more types of computing devices:","41,366","±727","90.1%","±1.2","25,117","±395","84.9%","±1.1","115,331","±1,103","93.5%","±0.6","11,041","±422","88.9%","±1.9","21,965","±539","91.1%","±1.4","47,507","±687","90.5%","±0.9","16,024","±495","91.6%","±1.4","14,391","±481","91.9%","±1.8","19,779","±562","88.5%","±1.5","57,646","±786","91.4%","±0.7","6,284","±258","87.5%","±1.4","14,763","±412","92.1%","±1.6","18,976","±450","87.7%","±1.8","15,842","±392","90.9%","±1.3","11,996","±309","86.7%","±1.3","80,555","±1,254","92.7%","±0.8"
"            Desktop or laptop","35,723","±791","77.8%","±1.5","20,864","±457","70.5%","±1.5","105,132","±1,257","85.2%","±0.8","9,338","±418","75.1%","±2.5","19,057","±552","79.0%","±1.7","41,630","±790","79.3%","±1.3","14,452","±478","82.6%","±2.0","12,680","±457","80.9%","±2.3","17,183","±552","76.9%","±1.7","49,037","±930","77.7%","±1.2","5,149","±259","71.7%","±2.5","12,504","±491","78.0%","±2.6","15,864","±603","73.3%","±2.6","13,707","±415","78.7%","±1.8","9,927","±295","71.8%","±1.6","71,387","±1,153","82.1%","±1.1"
"                Desktop or laptop with no other type of computing device","3,704","±372","8.1%","±0.8","3,581","±332","12.1%","±1.1","7,413","±644","6.0%","±0.5","1,125","±193","9.1%","±1.5","2,146","±272","8.9%","±1.1","3,961","±417","7.5%","±0.8","1,536","±233","8.8%","±1.4","1,417","±223","9.0%","±1.4","2,446","±301","10.9%","±1.3","5,339","±530","8.5%","±0.8","868","±140","12.1%","±1.9","1,271","±256","7.9%","±1.6","2,177","±322","10.1%","±1.5","1,438","±184","8.3%","±1.1","1,665","±165","12.0%","±1.2","6,616","±727","7.6%","±0.8"
"            Smartphone","34,895","±723","76.0%","±1.3","18,808","±457","63.6%","±1.5","102,677","±1,159","83.2%","±0.7","9,112","±439","73.3%","±2.6","18,299","±560","75.9%","±1.6","41,019","±813","78.1%","±1.2","13,164","±541","75.2%","±2.0","11,834","±505","75.5%","±2.5","15,850","±604","70.9%","±2.0","48,384","±801","76.7%","±0.9","4,675","±290","65.1%","±3.1","12,631","±444","78.8%","±2.2","15,309","±442","70.7%","±1.9","13,073","±463","75.0%","±1.9","9,082","±333","65.7%","±1.8","69,217","±1,347","79.6%","±1.1"
"                Smartphone with no other type of computing device","2,764","±446","6.0%","±1.0","1,816","±240","6.1%","±0.8","4,638","±542","3.8%","±0.4","991","±223","8.0%","±1.7","1,467","±232","6.1%","±1.0","3,118","±496","5.9%","±0.9","495","±161","2.8%","±0.9","756","±225","4.8%","±1.4","1,248","±187","5.6%","±0.8","4,030","±467","6.4%","±0.7","528","±108","7.4%","±1.5","1,212","±380","7.6%","±2.4","1,612","±272","7.4%","±1.2","1,252","±240","7.2%","±1.4","1,135","±169","8.2%","±1.2","4,088","±675","4.7%","±0.8"
"            Tablet or other portable wireless computer","27,941","±871","60.9%","±1.7","15,690","±456","53.0%","±1.6","82,535","±1,278","66.9%","±1.0","6,675","±407","53.7%","±3.1","13,639","±523","56.6%","±1.9","30,782","±834","58.6%","±1.5","11,319","±521","64.7%","±2.4","9,348","±437","59.7%","±2.6","12,660","±608","56.6%","±2.1","38,210","±988","60.6%","±1.4","3,792","±250","52.8%","±2.7","9,713","±492","60.6%","±2.7","11,797","±493","54.5%","±2.4","10,188","±438","58.5%","±2.4","6,943","±255","50.2%","±1.9","56,250","±1,153","64.7%","±1.5"
"                Tablet or other portable wireless computer with no other type of computing device","570","±152","1.2%","±0.3","787","±187","2.7%","±0.6","1,195","±242","1.0%","±0.2","138","±60","1.1%","±0.5","341","±87","1.4%","±0.4","516","±122","1.0%","±0.2","257","±107","1.5%","±0.6","239","±106","1.5%","±0.7","437","±128","2.0%","±0.6","1,087","±219","1.7%","±0.3","212","±92","3.0%","±1.3","329","±98","2.1%","±0.6","426","±120","2.0%","±0.6","221","±85","1.3%","±0.5","258","±46","1.9%","±0.3","1,190","±235","1.4%","±0.3"
"            Other computer","1,388","±301","3.0%","±0.6","452","±136","1.5%","±0.5","2,460","±393","2.0%","±0.3","166","±66","1.3%","±0.5","278","±97","1.2%","±0.4","1,180","±259","2.2%","±0.5","351","±102","2.0%","±0.6","304","±95","1.9%","±0.6","458","±135","2.0%","±0.6","961","±182","1.5%","±0.3","82","±36","1.1%","±0.5","335","±111","2.1%","±0.7","208","±87","1.0%","±0.4","346","±120","2.0%","±0.7","203","±47","1.5%","±0.3","1,835","±364","2.1%","±0.4"
