"Label (Grouping)","Androscoggin County, Maine!!Total!!Estimate","Androscoggin County, Maine!!Total!!Margin of Error","Androscoggin County, Maine!!Percent!!Estimate","Androscoggin County, Maine!!Percent!!Margin of Error","Androscoggin County, Maine!!Male!!Estimate","Androscoggin County, Maine!!Male!!Margin of Error","Androscoggin County, Maine!!Percent Male!!Estimate","Androscoggin County, Maine!!Percent Male!!Margin of Error","Androscoggin County, Maine!!Female!!Estimate","Androscoggin County, Maine!!Female!!Margin of Error","Androscoggin County, Maine!!Percent Female!!Estimate","Androscoggin County, Maine!!Percent Female!!Margin of Error","Aroostook County, Maine!!Total!!Estimate","Aroostook County, Maine!!Total!!Margin of Error","Aroostook County, Maine!!Percent!!Estimate","Aroostook County, Maine!!Percent!!Margin of Error","Aroostook County, Maine!!Male!!Estimate","Aroostook County, Maine!!Male!!Margin of Error","Aroostook County, Maine!!Percent Male!!Estimate","Aroostook County, Maine!!Percent Male!!Margin of Error","Aroostook County, Maine!!Female!!Estimate","Aroostook County, Maine!!Female!!Margin of Error","Aroostook County, Maine!!Percent Female!!Estimate","Aroostook County, Maine!!Percent Female!!Margin of Error","Cumberland County, Maine!!Total!!Estimate","Cumberland County, Maine!!Total!!Margin of Error","Cumberland County, Maine!!Percent!!Estimate","Cumberland County, Maine!!Percent!!Margin of Error","Cumberland County, Maine!!Male!!Estimate","Cumberland County, Maine!!Male!!Margin of Error","Cumberland County, Maine!!Percent Male!!Estimate","Cumberland County, Maine!!Percent Male!!Margin of Error","Cumberland County, Maine!!Female!!Estimate","Cumberland County, Maine!!Female!!Margin of Error","Cumberland County, Maine!!Percent Female!!Estimate","Cumberland County, Maine!!Percent Female!!Margin of Error","Franklin County, Maine!!Total!!Estimate","Franklin County, Maine!!Total!!Margin of Error","Franklin County, Maine!!Percent!!Estimate","Franklin County, Maine!!Percent!!Margin of Error","Franklin County, Maine!!Male!!Estimate","Franklin County, Maine!!Male!!Margin of Error","Franklin County, Maine!!Percent Male!!Estimate","Franklin County, Maine!!Percent Male!!Margin of Error","Franklin County, Maine!!Female!!Estimate","Franklin County, Maine!!Female!!Margin of Error","Franklin County, Maine!!Percent Female!!Estimate","Franklin County, Maine!!Percent Female!!Margin of Error","Hancock County, Maine!!Total!!Estimate","Hancock County, Maine!!Total!!Margin of Error","Hancock County, Maine!!Percent!!Estimate","Hancock County, Maine!!Percent!!Margin of Error","Hancock County, Maine!!Male!!Estimate","Hancock County, Maine!!Male!!Margin of Error","Hancock County, Maine!!Percent Male!!Estimate","Hancock County, Maine!!Percent Male!!Margin of Error","Hancock County, Maine!!Female!!Estimate","Hancock County, Maine!!Female!!Margin of Error","Hancock County, Maine!!Percent Female!!Estimate","Hancock County, Maine!!Percent Female!!Margin of Error","Kennebec County, Maine!!Total!!Estimate","Kennebec County, Maine!!Total!!Margin of Error","Kennebec County, Maine!!Percent!!Estimate","Kennebec County, Maine!!Percent!!Margin of Error","Kennebec County, Maine!!Male!!Estimate","Kennebec County, Maine!!Male!!Margin of Error","Kennebec County, Maine!!Percent Male!!Estimate","Kennebec County, Maine!!Percent Male!!Margin of Error","Kennebec County, Maine!!Female!!Estimate","Kennebec County, Maine!!Female!!Margin of Error","Kennebec County, Maine!!Percent Female!!Estimate","Kennebec County, Maine!!Percent Female!!Margin of Error","Knox County, Maine!!Total!!Estimate","Knox County, Maine!!Total!!Margin of Error","Knox County, Maine!!Percent!!Estimate","Knox County, Maine!!Percent!!Margin of Error","Knox County, Maine!!Male!!Estimate","Knox County, Maine!!Male!!Margin of Error","Knox County, Maine!!Percent Male!!Estimate","Knox County, Maine!!Percent Male!!Margin of Error","Knox County, Maine!!Female!!Estimate","Knox County, Maine!!Female!!Margin of Error","Knox County, Maine!!Percent Female!!Estimate","Knox County, Maine!!Percent Female!!Margin of Error","Lincoln County, Maine!!Total!!Estimate","Lincoln County, Maine!!Total!!Margin of Error","Lincoln County, Maine!!Percent!!Estimate","Lincoln County, Maine!!Percent!!Margin of Error","Lincoln County, Maine!!Male!!Estimate","Lincoln County, Maine!!Male!!Margin of Error","Lincoln County, Maine!!Percent Male!!Estimate","Lincoln County, Maine!!Percent Male!!Margin of Error","Lincoln County, Maine!!Female!!Estimate","Lincoln County, Maine!!Female!!Margin of Error","Lincoln County, Maine!!Percent Female!!Estimate","Lincoln County, Maine!!Percent Female!!Margin of Error","Oxford County, Maine!!Total!!Estimate","Oxford County, Maine!!Total!!Margin of Error","Oxford County, Maine!!Percent!!Estimate","Oxford County, Maine!!Percent!!Margin of Error","Oxford County, Maine!!Male!!Estimate","Oxford County, Maine!!Male!!Margin of Error","Oxford County, Maine!!Percent Male!!Estimate","Oxford County, Maine!!Percent Male!!Margin of Error","Oxford County, Maine!!Female!!Estimate","Oxford County, Maine!!Female!!Margin of Error","Oxford County, Maine!!Percent Female!!Estimate","Oxford County, Maine!!Percent Female!!Margin of Error","Penobscot County, Maine!!Total!!Estimate","Penobscot County, Maine!!Total!!Margin of Error","Penobscot County, Maine!!Percent!!Estimate","Penobscot County, Maine!!Percent!!Margin of Error","Penobscot County, Maine!!Male!!Estimate","Penobscot County, Maine!!Male!!Margin of Error","Penobscot County, Maine!!Percent Male!!Estimate","Penobscot County, Maine!!Percent Male!!Margin of Error","Penobscot County, Maine!!Female!!Estimate","Penobscot County, Maine!!Female!!Margin of Error","Penobscot County, Maine!!Percent Female!!Estimate","Penobscot County, Maine!!Percent Female!!Margin of Error","Piscataquis County, Maine!!Total!!Estimate","Piscataquis County, Maine!!Total!!Margin of Error","Piscataquis County, Maine!!Percent!!Estimate","Piscataquis County, Maine!!Percent!!Margin of Error","Piscataquis County, Maine!!Male!!Estimate","Piscataquis County, Maine!!Male!!Margin of Error","Piscataquis County, Maine!!Percent Male!!Estimate","Piscataquis County, Maine!!Percent Male!!Margin of Error","Piscataquis County, Maine!!Female!!Estimate","Piscataquis County, Maine!!Female!!Margin of Error","Piscataquis County, Maine!!Percent Female!!Estimate","Piscataquis County, Maine!!Percent Female!!Margin of Error","Sagadahoc County, Maine!!Total!!Estimate","Sagadahoc County, Maine!!Total!!Margin of Error","Sagadahoc County, Maine!!Percent!!Estimate","Sagadahoc County, Maine!!Percent!!Margin of Error","Sagadahoc County, Maine!!Male!!Estimate","Sagadahoc County, Maine!!Male!!Margin of Error","Sagadahoc County, Maine!!Percent Male!!Estimate","Sagadahoc County, Maine!!Percent Male!!Margin of Error","Sagadahoc County, Maine!!Female!!Estimate","Sagadahoc County, Maine!!Female!!Margin of Error","Sagadahoc County, Maine!!Percent Female!!Estimate","Sagadahoc County, Maine!!Percent Female!!Margin of Error","Somerset County, Maine!!Total!!Estimate","Somerset County, Maine!!Total!!Margin of Error","Somerset County, Maine!!Percent!!Estimate","Somerset County, Maine!!Percent!!Margin of Error","Somerset County, Maine!!Male!!Estimate","Somerset County, Maine!!Male!!Margin of Error","Somerset County, Maine!!Percent Male!!Estimate","Somerset County, Maine!!Percent Male!!Margin of Error","Somerset County, Maine!!Female!!Estimate","Somerset County, Maine!!Female!!Margin of Error","Somerset County, Maine!!Percent Female!!Estimate","Somerset County, Maine!!Percent Female!!Margin of Error","Waldo County, Maine!!Total!!Estimate","Waldo County, Maine!!Total!!Margin of Error","Waldo County, Maine!!Percent!!Estimate","Waldo County, Maine!!Percent!!Margin of Error","Waldo County, Maine!!Male!!Estimate","Waldo County, Maine!!Male!!Margin of Error","Waldo County, Maine!!Percent Male!!Estimate","Waldo County, Maine!!Percent Male!!Margin of Error","Waldo County, Maine!!Female!!Estimate","Waldo County, Maine!!Female!!Margin of Error","Waldo County, Maine!!Percent Female!!Estimate","Waldo County, Maine!!Percent Female!!Margin of Error","Washington County, Maine!!Total!!Estimate","Washington County, Maine!!Total!!Margin of Error","Washington County, Maine!!Percent!!Estimate","Washington County, Maine!!Percent!!Margin of Error","Washington County, Maine!!Male!!Estimate","Washington County, Maine!!Male!!Margin of Error","Washington County, Maine!!Percent Male!!Estimate","Washington County, Maine!!Percent Male!!Margin of Error","Washington County, Maine!!Female!!Estimate","Washington County, Maine!!Female!!Margin of Error","Washington County, Maine!!Percent Female!!Estimate","Washington County, Maine!!Percent Female!!Margin of Error","York County, Maine!!Total!!Estimate","York County, Maine!!Total!!Margin of Error","York County, Maine!!Percent!!Estimate","York County, Maine!!Percent!!Margin of Error","York County, Maine!!Male!!Estimate","York County, Maine!!Male!!Margin of Error","York County, Maine!!Percent Male!!Estimate","York County, Maine!!Percent Male!!Margin of Error","York County, Maine!!Female!!Estimate","York County, Maine!!Female!!Margin of Error","York County, Maine!!Percent Female!!Estimate","York County, Maine!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","9,325","±96","(X)","(X)","4,698","±100","(X)","(X)","4,627","±49","(X)","(X)","4,983","±139","(X)","(X)","2,666","±130","(X)","(X)","2,317","±49","(X)","(X)","25,439","±160","(X)","(X)","12,856","±119","(X)","(X)","12,583","±120","(X)","(X)","2,842","±99","(X)","(X)","1,290","±30","(X)","(X)","1,552","±83","(X)","(X)","3,564","±98","(X)","(X)","1,881","±42","(X)","(X)","1,683","±87","(X)","(X)","10,283","±151","(X)","(X)","5,270","±119","(X)","(X)","5,013","±81","(X)","(X)","2,563","±118","(X)","(X)","1,379","±104","(X)","(X)","1,184","±56","(X)","(X)","2,154","±61","(X)","(X)","1,123","±38","(X)","(X)","1,031","±52","(X)","(X)","3,848","±101","(X)","(X)","1,998","±67","(X)","(X)","1,850","±88","(X)","(X)","15,870","±204","(X)","(X)","8,558","±124","(X)","(X)","7,312","±159","(X)","(X)","993","±70","(X)","(X)","504","±50","(X)","(X)","489","±27","(X)","(X)","2,111","±63","(X)","(X)","1,071","±43","(X)","(X)","1,040","±43","(X)","(X)","3,357","±54","(X)","(X)","1,777","±50","(X)","(X)","1,580","±20","(X)","(X)","2,868","±73","(X)","(X)","1,447","±40","(X)","(X)","1,421","±65","(X)","(X)","2,270","±62","(X)","(X)","1,161","±57","(X)","(X)","1,109","±25","(X)","(X)","15,003","±225","(X)","(X)","7,481","±149","(X)","(X)","7,522","±169","(X)","(X)"
"        Less than high school graduate","966","±212","10.4%","±2.3","447","±146","9.5%","±3.0","519","±148","11.2%","±3.2","683","±162","13.7%","±3.3","323","±94","12.1%","±3.6","360","±115","15.5%","±5.1","2,100","±360","8.3%","±1.4","1,383","±299","10.8%","±2.3","717","±189","5.7%","±1.5","182","±86","6.4%","±3.1","109","±67","8.4%","±5.2","73","±54","4.7%","±3.5","270","±93","7.6%","±2.6","157","±66","8.3%","±3.6","113","±55","6.7%","±3.3","1,445","±420","14.1%","±4.1","977","±339","18.5%","±6.5","468","±179","9.3%","±3.6","286","±113","11.2%","±4.3","156","±71","11.3%","±5.0","130","±92","11.0%","±7.8","296","±146","13.7%","±6.7","156","±77","13.9%","±6.7","140","±103","13.6%","±10.0","656","±148","17.0%","±3.8","348","±127","17.4%","±6.3","308","±75","16.6%","±4.0","1,158","±249","7.3%","±1.6","740","±191","8.6%","±2.2","418","±131","5.7%","±1.8","166","±71","16.7%","±6.7","86","±42","17.1%","±7.8","80","±48","16.4%","±9.5","254","±108","12.0%","±5.2","188","±89","17.6%","±8.3","66","±47","6.3%","±4.5","578","±132","17.2%","±3.8","300","±86","16.9%","±4.7","278","±96","17.6%","±6.0","355","±118","12.4%","±4.1","230","±86","15.9%","±6.0","125","±57","8.8%","±4.0","321","±71","14.1%","±3.1","161","±57","13.9%","±4.8","160","±42","14.4%","±3.8","1,577","±269","10.5%","±1.8","950","±173","12.7%","±2.3","627","±199","8.3%","±2.6"
"        High school graduate (includes equivalency)","3,601","±417","38.6%","±4.5","1,951","±311","41.5%","±6.8","1,650","±270","35.7%","±5.9","1,710","±165","34.3%","±3.4","1,042","±135","39.1%","±5.4","668","±108","28.8%","±4.7","6,774","±639","26.6%","±2.5","3,988","±514","31.0%","±3.9","2,786","±364","22.1%","±2.9","951","±181","33.5%","±6.5","389","±124","30.2%","±9.6","562","±125","36.2%","±8.7","1,241","±192","34.8%","±5.3","522","±132","27.8%","±7.0","719","±122","42.7%","±6.8","3,206","±394","31.2%","±3.8","1,636","±260","31.0%","±4.9","1,570","±268","31.3%","±5.3","1,137","±203","44.4%","±8.1","561","±139","40.7%","±10.3","576","±152","48.6%","±13.4","1,010","±150","46.9%","±6.9","703","±112","62.6%","±10.2","307","±88","29.8%","±8.2","1,647","±189","42.8%","±5.0","978","±153","48.9%","±7.5","669","±152","36.2%","±8.0","4,609","±425","29.0%","±2.7","2,784","±352","32.5%","±4.1","1,825","±220","25.0%","±3.0","392","±94","39.5%","±10.2","192","±54","38.1%","±11.6","200","±87","40.9%","±17.9","840","±199","39.8%","±9.3","384","±145","35.9%","±13.7","456","±123","43.8%","±11.4","1,078","±188","32.1%","±5.6","642","±131","36.1%","±7.3","436","±131","27.6%","±8.3","1,141","±141","39.8%","±4.8","652","±121","45.1%","±8.5","489","±100","34.4%","±7.1","933","±101","41.1%","±4.2","613","±90","52.8%","±7.2","320","±60","28.9%","±5.4","5,707","±550","38.0%","±3.7","3,162","±385","42.3%","±5.0","2,545","±372","33.8%","±5.0"
"        Some college or associate's degree","3,816","±440","40.9%","±4.7","1,832","±294","39.0%","±6.1","1,984","±328","42.9%","±7.0","2,191","±261","44.0%","±4.6","1,234","±214","46.3%","±6.8","957","±129","41.3%","±5.3","11,879","±637","46.7%","±2.5","5,610","±522","43.6%","±4.1","6,269","±484","49.8%","±3.8","1,458","±297","51.3%","±9.9","693","±166","53.7%","±12.8","765","±227","49.3%","±13.3","1,618","±201","45.4%","±5.7","1,011","±143","53.7%","±7.5","607","±124","36.1%","±7.4","4,388","±424","42.7%","±4.0","2,088","±311","39.6%","±5.6","2,300","±269","45.9%","±5.3","1,057","±197","41.2%","±7.2","627","±145","45.5%","±9.3","430","±157","36.3%","±12.6","589","±144","27.3%","±6.7","232","±87","20.7%","±7.6","357","±107","34.6%","±10.3","1,207","±200","31.4%","±5.0","591","±139","29.6%","±7.0","616","±150","33.3%","±7.8","8,613","±498","54.3%","±3.0","4,362","±388","51.0%","±4.4","4,251","±304","58.1%","±3.8","352","±99","35.4%","±9.6","183","±67","36.3%","±11.8","169","±78","34.6%","±16.4","888","±182","42.1%","±8.3","420","±126","39.2%","±11.2","468","±115","45.0%","±11.0","1,449","±203","43.2%","±6.1","769","±128","43.3%","±7.2","680","±138","43.0%","±8.7","984","±149","34.3%","±5.0","478","±124","33.0%","±8.3","506","±109","35.6%","±7.0","918","±100","40.4%","±4.2","359","±78","30.9%","±6.6","559","±70","50.4%","±6.2","5,472","±484","36.5%","±3.2","2,302","±287","30.8%","±3.8","3,170","±348","42.1%","±4.5"
"        Bachelor's degree or higher","942","±230","10.1%","±2.5","468","±156","10.0%","±3.3","474","±184","10.2%","±4.0","399","±125","8.0%","±2.5","67","±53","2.5%","±2.0","332","±118","14.3%","±5.0","4,686","±537","18.4%","±2.1","1,875","±354","14.6%","±2.8","2,811","±405","22.3%","±3.2","251","±162","8.8%","±5.7","99","±85","7.7%","±6.6","152","±118","9.8%","±7.7","435","±119","12.2%","±3.3","191","±77","10.2%","±4.1","244","±86","14.5%","±4.9","1,244","±342","12.1%","±3.3","569","±172","10.8%","±3.3","675","±286","13.5%","±5.7","83","±42","3.2%","±1.6","35","±23","2.5%","±1.7","48","±34","4.1%","±2.9","259","±75","12.0%","±3.5","32","±34","2.8%","±3.0","227","±62","22.0%","±5.9","338","±99","8.8%","±2.6","81","±63","4.1%","±3.2","257","±104","13.9%","±5.8","1,490","±255","9.4%","±1.6","672","±176","7.9%","±2.0","818","±203","11.2%","±2.8","83","±53","8.4%","±5.1","43","±42","8.5%","±8.2","40","±27","8.2%","±5.3","129","±65","6.1%","±3.1","79","±49","7.4%","±4.6","50","±38","4.8%","±3.7","252","±87","7.5%","±2.6","66","±51","3.7%","±2.9","186","±87","11.8%","±5.5","388","±92","13.5%","±3.3","87","±46","6.0%","±3.2","301","±82","21.2%","±6.0","98","±43","4.3%","±1.9","28","±22","2.4%","±1.9","70","±38","6.3%","±3.4","2,247","±432","15.0%","±2.9","1,067","±272","14.3%","±3.6","1,180","±313","15.7%","±4.1"
"    Population 25 years and over","75,245","±95","(X)","(X)","36,198","±118","(X)","(X)","39,047","±76","(X)","(X)","50,068","±139","(X)","(X)","24,254","±143","(X)","(X)","25,814","±55","(X)","(X)","214,177","±159","(X)","(X)","101,924","±119","(X)","(X)","112,253","±120","(X)","(X)","21,768","±121","(X)","(X)","10,669","±120","(X)","(X)","11,099","±88","(X)","(X)","42,028","±125","(X)","(X)","19,991","±106","(X)","(X)","22,037","±107","(X)","(X)","88,325","±150","(X)","(X)","42,235","±132","(X)","(X)","46,090","±110","(X)","(X)","30,210","±69","(X)","(X)","14,733","±145","(X)","(X)","15,477","±135","(X)","(X)","26,461","±75","(X)","(X)","12,660","±66","(X)","(X)","13,801","±58","(X)","(X)","43,289","±123","(X)","(X)","21,025","±83","(X)","(X)","22,264","±107","(X)","(X)","108,311","±204","(X)","(X)","52,471","±128","(X)","(X)","55,840","±171","(X)","(X)","12,991","±49","(X)","(X)","6,541","±86","(X)","(X)","6,450","±69","(X)","(X)","26,891","±77","(X)","(X)","12,962","±102","(X)","(X)","13,929","±109","(X)","(X)","37,601","±54","(X)","(X)","18,400","±83","(X)","(X)","19,201","±76","(X)","(X)","29,485","±72","(X)","(X)","14,270","±90","(X)","(X)","15,215","±81","(X)","(X)","23,114","±62","(X)","(X)","11,191","±64","(X)","(X)","11,923","±36","(X)","(X)","152,421","±218","(X)","(X)","72,782","±168","(X)","(X)","79,639","±183","(X)","(X)"
"        Less than 9th grade","2,502","±471","3.3%","±0.6","1,276","±334","3.5%","±0.9","1,226","±290","3.1%","±0.7","2,086","±277","4.2%","±0.6","1,108","±172","4.6%","±0.7","978","±203","3.8%","±0.8","3,749","±417","1.8%","±0.2","1,969","±334","1.9%","±0.3","1,780","±290","1.6%","±0.3","310","±107","1.4%","±0.5","213","±89","2.0%","±0.8","97","±42","0.9%","±0.4","693","±133","1.6%","±0.3","403","±97","2.0%","±0.5","290","±88","1.3%","±0.4","2,282","±312","2.6%","±0.4","1,552","±246","3.7%","±0.6","730","±171","1.6%","±0.4","443","±131","1.5%","±0.4","316","±108","2.1%","±0.7","127","±81","0.8%","±0.5","478","±154","1.8%","±0.6","252","±81","2.0%","±0.6","226","±120","1.6%","±0.9","933","±247","2.2%","±0.6","416","±124","2.0%","±0.6","517","±215","2.3%","±1.0","2,450","±368","2.3%","±0.3","1,538","±324","2.9%","±0.6","912","±199","1.6%","±0.4","509","±137","3.9%","±1.1","355","±120","5.4%","±1.8","154","±67","2.4%","±1.0","440","±124","1.6%","±0.5","272","±127","2.1%","±1.0","168","±79","1.2%","±0.6","1,085","±242","2.9%","±0.6","505","±125","2.7%","±0.7","580","±172","3.0%","±0.9","661","±202","2.2%","±0.7","418","±124","2.9%","±0.9","243","±111","1.6%","±0.7","753","±141","3.3%","±0.6","447","±101","4.0%","±0.9","306","±87","2.6%","±0.7","2,844","±414","1.9%","±0.3","1,416","±261","1.9%","±0.4","1,428","±339","1.8%","±0.4"
"        9th to 12th grade, no diploma","4,072","±459","5.4%","±0.6","2,328","±358","6.4%","±1.0","1,744","±297","4.5%","±0.8","3,022","±414","6.0%","±0.8","1,557","±200","6.4%","±0.8","1,465","±302","5.7%","±1.2","6,365","±642","3.0%","±0.3","3,524","±454","3.5%","±0.4","2,841","±432","2.5%","±0.4","1,084","±183","5.0%","±0.8","693","±146","6.5%","±1.4","391","±102","3.5%","±0.9","1,523","±214","3.6%","±0.5","875","±160","4.4%","±0.8","648","±163","2.9%","±0.7","3,686","±425","4.2%","±0.5","2,012","±325","4.8%","±0.8","1,674","±290","3.6%","±0.6","1,662","±353","5.5%","±1.2","924","±232","6.3%","±1.6","738","±282","4.8%","±1.8","1,172","±246","4.4%","±0.9","632","±170","5.0%","±1.3","540","±184","3.9%","±1.3","2,787","±368","6.4%","±0.9","1,651","±287","7.9%","±1.4","1,136","±198","5.1%","±0.9","5,270","±514","4.9%","±0.5","3,165","±414","6.0%","±0.8","2,105","±304","3.8%","±0.5","583","±103","4.5%","±0.8","343","±84","5.2%","±1.3","240","±62","3.7%","±1.0","1,038","±250","3.9%","±0.9","563","±174","4.3%","±1.3","475","±137","3.4%","±1.0","2,573","±336","6.8%","±0.9","1,360","±244","7.4%","±1.3","1,213","±226","6.3%","±1.2","1,463","±253","5.0%","±0.9","922","±169","6.5%","±1.2","541","±148","3.6%","±1.0","1,340","±167","5.8%","±0.7","862","±145","7.7%","±1.3","478","±104","4.0%","±0.9","6,667","±679","4.4%","±0.4","3,520","±505","4.8%","±0.7","3,147","±462","4.0%","±0.6"
"        High school graduate (includes equivalency)","26,755","±1,078","35.6%","±1.4","13,554","±662","37.4%","±1.9","13,201","±783","33.8%","±2.0","18,616","±597","37.2%","±1.2","9,319","±410","38.4%","±1.7","9,297","±456","36.0%","±1.8","46,308","±1,823","21.6%","±0.9","23,395","±1,162","23.0%","±1.1","22,913","±1,052","20.4%","±0.9","8,424","±466","38.7%","±2.1","4,318","±295","40.5%","±2.7","4,106","±382","37.0%","±3.4","13,271","±629","31.6%","±1.5","6,848","±450","34.3%","±2.2","6,423","±460","29.1%","±2.1","29,472","±1,208","33.4%","±1.4","14,972","±831","35.4%","±2.0","14,500","±667","31.5%","±1.5","9,628","±631","31.9%","±2.1","5,207","±421","35.3%","±2.8","4,421","±404","28.6%","±2.6","8,738","±516","33.0%","±1.9","4,639","±340","36.6%","±2.7","4,099","±323","29.7%","±2.3","17,744","±775","41.0%","±1.8","9,525","±506","45.3%","±2.4","8,219","±509","36.9%","±2.3","36,200","±1,314","33.4%","±1.2","18,924","±988","36.1%","±1.9","17,276","±779","30.9%","±1.4","5,394","±320","41.5%","±2.5","2,796","±206","42.7%","±3.2","2,598","±204","40.3%","±3.2","8,185","±619","30.4%","±2.3","4,360","±452","33.6%","±3.5","3,825","±387","27.5%","±2.8","15,555","±714","41.4%","±1.9","8,607","±438","46.8%","±2.4","6,948","±453","36.2%","±2.4","9,375","±589","31.8%","±2.0","4,962","±373","34.8%","±2.6","4,413","±341","29.0%","±2.2","8,777","±321","38.0%","±1.4","4,487","±205","40.1%","±1.8","4,290","±251","36.0%","±2.1","45,015","±1,735","29.5%","±1.1","23,381","±1,054","32.1%","±1.4","21,634","±1,179","27.2%","±1.5"
